0.06;0.01;0.96;46.37;-1.39;0.50;-1.02
0.06;0.01;0.96;46.46;-1.37;0.34;-1.02
0.06;0.01;0.96;46.37;-1.39;0.44;-0.83
0.06;0.01;0.96;46.22;-1.40;0.63;-0.91
0.06;0.01;0.96;46.27;-1.73;0.51;-1.07
0.05;0.01;0.96;46.37;-1.36;0.53;-0.70
0.06;0.01;0.96;46.41;-1.05;0.29;-1.04
0.24;0.01;0.94;46.08;-1.10;1.47;7.66
0.06;0.01;0.95;46.22;-1.11;-0.85;-1.15
0.08;0.01;0.98;46.41;-1.46;1.18;-1.06
0.01;0.00;0.96;46.22;-0.91;-0.44;7.27
0.06;0.01;0.96;46.55;-1.43;0.47;-0.99
0.06;-0.01;0.97;46.55;-1.91;1.69;-5.24
0.06;-0.01;0.96;46.37;-1.21;-0.27;-0.77
-0.03;-0.01;0.85;46.22;-0.76;-2.82;-0.98
0.07;-0.03;0.96;46.27;-5.68;1.09;5.63
0.05;0.00;0.97;46.27;-3.02;7.42;3.18
0.04;-0.00;0.97;46.22;-5.60;-9.08;2.14
0.05;-0.03;0.92;46.41;6.70;-1.84;3.42
0.01;0.03;0.94;46.41;0.08;37.76;3.82
0.09;0.01;1.07;46.27;19.22;-3.27;2.07
0.02;0.04;0.96;46.46;-2.15;-13.12;10.93
0.06;0.02;0.90;46.46;0.79;-26.13;3.95
0.10;0.04;0.96;46.27;-4.01;3.22;5.82
0.09;0.01;0.89;46.27;-18.56;0.59;7.32
0.10;0.01;0.87;46.46;-16.82;-19.01;-6.30
0.18;-0.03;1.00;46.22;6.20;-8.76;-11.59
0.12;0.01;0.94;46.37;2.78;-10.34;-15.18
0.16;-0.01;0.92;46.41;-4.39;-0.45;-20.29
0.11;0.02;1.01;46.41;4.98;3.46;-20.38
0.10;0.02;0.92;46.22;4.94;-4.39;-29.92
0.12;0.02;0.94;46.27;-0.82;5.17;-18.41
0.10;0.03;1.00;46.41;-4.85;4.69;-33.78
0.10;0.02;1.04;46.37;-9.81;0.18;-43.31
0.13;0.04;0.92;46.27;-13.12;-5.11;-40.80
0.13;0.04;0.91;46.08;-6.79;1.79;-37.33
0.14;0.04;0.91;46.46;0.05;5.36;-29.69
0.14;0.04;0.96;46.37;0.08;6.46;-36.49
0.14;0.06;0.96;46.46;-1.27;4.34;-37.35
0.13;0.05;0.95;46.46;-9.44;2.71;-23.07
0.13;0.05;0.96;46.37;-8.85;-2.60;-26.82
0.11;0.02;0.97;46.41;1.07;5.81;-24.48
0.17;0.04;1.00;46.08;-6.38;3.66;-22.30
0.13;0.02;0.99;46.27;-13.55;-2.10;-17.72
0.10;0.00;0.93;46.08;-4.08;1.34;-12.40
0.10;0.03;0.93;46.37;18.74;1.92;-23.29
0.07;0.06;0.97;46.46;15.06;8.92;-39.70
0.09;0.09;0.98;46.41;-4.13;6.08;-22.57
0.07;0.09;0.97;46.27;-0.57;4.18;-28.44
0.04;0.08;1.01;46.46;-7.86;8.50;-20.73
0.11;0.07;1.01;46.55;-14.73;-8.16;-20.70
0.06;0.04;0.96;46.55;-12.90;2.71;-16.43
0.07;0.01;0.95;46.46;-6.85;2.66;-20.17
0.09;0.04;0.95;46.46;-0.60;-9.88;31.26
0.11;0.09;0.94;46.41;13.59;-5.42;56.50
0.13;0.07;0.98;46.37;14.18;7.60;53.24
0.06;0.03;0.95;46.41;-7.52;1.31;40.84
0.10;0.05;0.95;46.41;-3.20;1.47;33.86
0.06;0.04;0.98;46.37;9.03;4.76;46.78
0.04;0.05;0.93;46.37;10.54;14.79;52.61
0.02;0.07;0.95;46.46;-4.17;9.59;40.89
0.07;0.06;1.00;46.55;-8.51;1.69;46.15
0.06;0.05;0.98;46.60;-5.56;-2.08;49.92
0.06;0.04;0.93;46.46;1.96;-3.55;55.32
0.07;0.06;1.00;46.37;13.60;-5.72;45.59
0.06;0.09;1.00;46.46;1.81;0.75;44.42
0.07;0.05;0.91;46.13;-5.54;1.13;42.90
0.05;0.03;0.95;46.41;2.44;6.59;50.12
0.08;0.07;0.99;46.46;-8.98;5.13;49.70
0.08;0.06;0.91;46.27;-7.18;-2.52;43.34
0.09;0.03;0.96;46.22;3.75;-10.38;49.72
0.07;0.05;0.91;46.37;1.30;21.18;50.04
0.12;0.07;0.93;46.37;0.69;-6.68;37.64
0.08;0.05;0.98;46.41;-12.06;-3.86;37.41
0.05;0.03;1.04;46.22;-4.60;-0.56;46.89
0.05;0.06;0.94;46.27;9.77;12.65;46.37
0.08;0.04;0.99;46.22;3.86;3.37;41.18
0.09;0.01;0.98;46.46;-7.21;9.08;19.04
0.00;0.03;0.94;46.13;-0.59;0.73;30.03
0.05;0.04;1.04;46.41;11.15;-15.21;31.40
0.08;0.06;1.04;46.37;9.01;-30.63;21.43
0.02;0.10;0.94;46.41;-3.30;-7.19;0.02
0.06;0.03;0.94;46.37;-4.54;-0.76;-13.18
0.09;0.03;0.97;46.41;3.85;-3.34;-18.65
0.08;0.07;0.98;46.55;-9.50;-6.16;-27.06
0.09;0.07;0.94;46.65;-5.19;10.69;-22.37
0.06;0.05;0.96;46.37;-6.29;-1.62;-27.44
0.02;0.06;0.92;46.37;-7.51;-5.90;-58.82
0.05;0.03;0.96;46.37;3.94;7.08;-59.60
-0.01;0.06;0.96;46.41;0.34;-10.54;-68.45
0.02;0.07;0.99;46.37;-12.15;-18.21;-76.95
0.12;0.04;0.94;46.41;-18.71;-8.09;-54.96
0.17;0.00;0.85;46.46;-12.25;10.13;-49.85
0.18;0.06;0.94;46.27;0.05;7.92;-68.11
0.09;0.06;0.91;46.55;-16.49;5.03;-64.55
0.06;0.01;0.97;46.60;-24.47;7.69;-57.33
0.05;-0.03;0.95;46.41;-5.66;-9.86;-66.44
0.08;-0.05;0.97;46.55;-10.09;-10.17;-66.57
0.16;0.03;0.97;46.41;-7.99;-1.79;-57.75
0.12;0.05;0.98;46.55;-13.73;6.08;-45.61
0.12;0.05;0.93;46.55;8.47;-0.01;-46.60
0.14;0.07;0.95;46.27;-1.67;-1.72;-41.65
0.09;0.06;0.98;46.27;-6.38;1.96;-45.77
